PRISM Time Series Data
Location:  Lat: 37.4220   Lon: -122.3289   Elev: 500m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2017-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Jan-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2017-04-03,0.00,8.8,16.6,24.3
2017-04-04,0.00,7.2,14.1,21.0
2017-04-05,0.00,8.6,15.3,22.0
2017-04-06,0.00,11.0,17.4,23.9
2017-04-07,31.16,5.9,11.5,17.0
2017-04-08,17.44,5.4,10.2,14.9
2017-04-09,2.59,3.8,7.7,11.6
2017-04-10,0.00,3.9,9.6,15.2
2017-04-11,0.00,5.8,12.0,18.1
2017-04-12,7.42,8.7,13.0,17.3
2017-04-13,11.43,7.5,12.0,16.5
2017-04-14,3.70,4.5,8.7,12.9
2017-04-15,0.00,4.2,9.9,15.6
2017-04-16,0.00,6.0,12.9,19.7
2017-04-17,9.56,7.2,10.5,13.8
2017-04-18,4.78,9.1,12.7,16.4
2017-04-19,1.49,7.0,12.8,18.7
2017-04-20,3.57,6.9,12.7,18.6
2017-04-21,0.01,8.3,13.6,18.9
2017-04-22,0.00,9.4,16.8,24.1
2017-04-23,0.00,7.3,12.8,18.2
2017-04-24,0.00,7.7,11.8,15.8
2017-04-25,0.31,7.3,10.6,14.0
2017-04-26,0.39,7.7,12.2,16.7
2017-04-27,1.92,8.4,12.5,16.6
2017-04-28,0.00,6.9,12.8,18.6
2017-04-29,0.00,7.4,14.1,20.8
2017-04-30,0.00,9.7,17.5,25.3
2017-05-01,0.00,9.5,17.5,25.5
2017-05-02,0.00,16.3,22.8,29.3
2017-05-03,0.00,15.6,22.9,30.3
2017-05-04,0.00,14.6,23.0,31.5
2017-05-05,0.03,10.2,18.1,26.1
2017-05-06,0.00,6.4,11.7,16.9
2017-05-07,0.00,6.1,10.8,15.5
2017-05-08,0.00,7.5,14.3,21.2
2017-05-09,0.00,8.7,16.1,23.5
2017-05-10,0.00,8.1,17.6,27.1
2017-05-11,0.00,8.3,13.3,18.2
2017-05-12,0.00,7.8,13.9,20.0
2017-05-13,0.00,5.7,11.0,16.2
2017-05-14,0.00,5.4,10.9,16.3
2017-05-15,0.00,6.2,10.7,15.2
2017-05-16,0.00,6.4,11.8,17.3
2017-05-17,1.35,7.1,10.8,14.4
2017-05-18,0.00,6.1,12.9,19.7
2017-05-19,0.00,8.5,17.3,26.1
2017-05-20,0.00,13.8,21.3,28.9
2017-05-21,0.00,14.3,22.3,30.4
2017-05-22,0.00,11.6,20.7,29.7
2017-05-23,0.00,11.5,19.3,27.2
2017-05-24,0.00,11.4,19.2,27.1
2017-05-25,0.00,8.8,15.4,22.0
2017-05-26,0.00,8.8,12.4,15.9
2017-05-27,0.00,8.2,12.4,16.6
2017-05-28,0.00,8.3,14.3,20.4
2017-05-29,0.00,9.8,14.4,18.9
2017-05-30,0.00,8.4,12.2,16.0
2017-05-31,0.00,8.9,13.4,17.9
2017-06-01,0.08,10.5,15.9,21.4
2017-06-02,0.00,9.8,15.7,21.5
2017-06-03,0.00,10.9,18.0,25.1
2017-06-04,0.00,10.9,17.4,23.9
2017-06-05,0.00,9.4,15.6,21.8
2017-06-06,0.00,10.2,18.0,25.8
2017-06-07,0.00,11.1,16.1,21.0
2017-06-08,0.00,9.0,15.9,22.7
2017-06-09,3.65,11.3,14.9,18.5
2017-06-10,0.70,9.1,13.7,18.3
2017-06-11,0.00,8.5,13.4,18.2
2017-06-12,0.00,8.6,12.3,16.1
2017-06-13,0.00,8.1,12.9,17.6
2017-06-14,0.00,9.2,16.4,23.6
2017-06-15,0.00,10.8,18.7,26.7
2017-06-16,0.00,11.9,18.8,25.6
2017-06-17,0.00,14.4,21.6,28.8
2017-06-18,0.00,15.4,23.5,31.7
2017-06-19,0.00,19.8,28.3,36.9
2017-06-20,0.00,17.5,26.3,35.1
2017-06-21,0.00,14.2,22.8,31.4
2017-06-22,0.00,14.4,23.0,31.5
2017-06-23,0.00,16.2,26.4,36.7
2017-06-24,0.00,14.6,21.6,28.7
2017-06-25,0.00,13.6,19.5,25.4
2017-06-26,0.00,11.4,17.4,23.3
2017-06-27,0.00,11.9,17.1,22.4
2017-06-28,0.00,11.0,15.8,20.6
2017-06-29,0.00,11.9,17.1,22.2
2017-06-30,0.00,11.9,17.2,22.5
2017-07-01,0.00,10.0,15.7,21.4
2017-07-02,0.20,10.5,15.8,21.2
2017-07-03,0.00,12.6,18.6,24.5
2017-07-04,0.00,14.0,20.4,26.8
2017-07-05,0.00,13.6,19.8,26.1
2017-07-06,0.00,14.0,19.7,25.4
2017-07-07,0.00,16.2,23.7,31.2
2017-07-08,0.00,20.3,27.1,33.9
2017-07-09,0.00,16.9,25.3,33.8
2017-07-10,0.00,16.0,23.9,31.7
2017-07-11,0.00,14.5,21.8,29.1
2017-07-12,0.00,13.7,20.8,27.9
2017-07-13,0.00,14.3,20.4,26.6
2017-07-14,0.00,14.3,20.7,27.1
2017-07-15,0.00,15.0,21.5,28.0
2017-07-16,0.00,16.5,25.5,34.5
2017-07-17,0.00,19.8,27.4,35.0
2017-07-18,0.00,14.6,22.2,29.7
2017-07-19,0.00,13.1,18.6,24.1
2017-07-20,0.00,12.6,19.2,25.9
2017-07-21,0.00,12.8,18.1,23.4
2017-07-22,0.00,13.2,19.5,25.9
2017-07-23,0.00,15.3,24.0,32.8
2017-07-24,0.00,15.0,22.9,30.7
2017-07-25,0.00,12.5,20.0,27.4
2017-07-26,0.00,12.4,18.2,24.0
2017-07-27,0.00,12.9,19.8,26.8
2017-07-28,0.00,16.2,24.2,32.3
2017-07-29,0.00,15.1,21.3,27.5
2017-07-30,0.00,14.7,20.5,26.4
2017-07-31,0.00,15.2,21.4,27.7
2017-08-01,0.00,12.4,20.6,28.9
2017-08-02,0.00,15.6,24.3,33.0
2017-08-03,0.00,18.3,26.0,33.6
2017-08-04,0.00,20.9,26.1,31.2
2017-08-05,0.00,15.6,22.3,28.9
2017-08-06,0.00,14.5,21.7,28.9
2017-08-07,0.00,12.7,19.1,25.5
2017-08-08,0.00,12.2,19.0,25.8
2017-08-09,0.00,12.8,19.1,25.4
2017-08-10,0.00,12.4,16.8,21.3
2017-08-11,0.03,12.1,18.0,24.0
2017-08-12,0.00,13.2,19.5,25.8
2017-08-13,0.00,12.4,17.7,23.0
2017-08-14,0.63,11.7,17.9,24.1
2017-08-15,0.00,11.8,15.1,18.5
2017-08-16,0.00,11.4,15.8,20.2
2017-08-17,0.00,12.2,18.8,25.4
2017-08-18,0.00,13.6,20.2,26.8
2017-08-19,0.00,13.4,20.1,26.7
2017-08-20,0.00,12.7,19.2,25.6
2017-08-21,0.00,13.3,19.5,25.8
2017-08-22,0.00,12.9,19.0,25.0
2017-08-23,0.00,13.7,20.3,26.8
2017-08-24,0.00,13.5,20.5,27.4
2017-08-25,0.00,12.0,18.0,24.0
2017-08-26,0.00,11.8,20.2,28.6
2017-08-27,0.00,19.3,27.2,35.2
2017-08-28,0.00,16.3,26.2,36.0
2017-08-29,0.00,15.1,23.5,31.8
2017-08-30,0.00,13.5,20.0,26.5
2017-08-31,0.00,12.7,20.1,27.6
2017-09-01,0.00,16.1,26.3,36.5
2017-09-02,0.00,28.3,35.0,41.7
2017-09-03,0.00,28.0,35.0,42.1
2017-09-04,0.00,21.0,28.7,36.4
2017-09-05,0.00,18.4,23.7,28.9
2017-09-06,0.00,15.9,21.9,28.0
2017-09-07,0.00,14.9,20.6,26.3
2017-09-08,0.00,13.8,17.2,20.6
2017-09-09,0.22,13.7,18.7,23.7
2017-09-10,0.00,15.4,21.8,28.3
2017-09-11,0.00,15.8,25.9,36.0
2017-09-12,2.16,18.8,26.2,33.6
2017-09-13,0.00,14.3,22.3,30.3
2017-09-14,0.30,13.3,17.0,20.7
2017-09-15,0.00,11.5,16.5,21.5
2017-09-16,0.00,11.1,16.5,22.0
2017-09-17,0.00,12.0,18.9,25.8
2017-09-18,0.53,12.0,18.5,25.0
2017-09-19,0.31,11.5,16.4,21.2
2017-09-20,0.26,10.9,16.7,22.5
2017-09-21,0.94,10.2,15.1,20.1
2017-09-22,0.00,9.7,13.8,17.9
2017-09-23,0.00,9.6,14.8,20.1
2017-09-24,0.00,12.3,18.9,25.6
2017-09-25,0.00,14.4,21.1,27.7
2017-09-26,0.00,16.2,22.8,29.3
2017-09-27,0.00,18.4,24.8,31.2
2017-09-28,0.00,18.8,25.1,31.5
2017-09-29,0.00,13.7,22.0,30.3
2017-09-30,0.14,11.6,17.7,23.8
2017-10-01,0.00,11.0,17.8,24.6
2017-10-02,0.00,11.2,17.6,24.0
2017-10-03,0.00,8.3,16.1,23.9
2017-10-04,0.00,8.1,14.5,21.0
2017-10-05,0.00,11.4,18.3,25.3
2017-10-06,0.00,14.0,20.7,27.3
2017-10-07,0.00,15.7,23.0,30.2
2017-10-08,0.00,10.9,20.0,29.2
2017-10-09,0.00,10.3,18.5,26.8
2017-10-10,0.00,14.0,20.0,26.1
2017-10-11,0.00,8.7,17.2,25.8
2017-10-12,0.00,8.8,14.1,19.4
2017-10-13,0.00,9.9,15.8,21.8
2017-10-14,0.00,11.1,17.6,24.0
2017-10-15,0.00,13.5,18.7,23.8
2017-10-16,0.00,15.7,22.2,28.8
2017-10-17,0.00,17.5,23.9,30.3
2017-10-18,0.00,11.7,19.6,27.6
2017-10-19,0.20,9.6,16.4,23.2
2017-10-20,7.88,8.8,13.1,17.3
2017-10-21,4.21,7.7,11.7,15.7
2017-10-22,0.00,8.0,13.9,19.9
2017-10-23,0.00,10.9,17.0,23.0
2017-10-24,0.00,17.2,23.4,29.7
2017-10-25,0.00,21.4,26.9,32.5
2017-10-26,0.00,20.8,26.4,31.9
2017-10-27,0.00,19.7,25.5,31.3
2017-10-28,0.00,15.5,23.3,31.2
2017-10-29,0.00,11.6,19.4,27.1
2017-10-30,0.00,10.2,14.7,19.2
2017-10-31,0.00,8.3,11.6,15.0
2017-11-01,0.00,8.3,12.8,17.2
2017-11-02,0.00,8.5,13.6,18.6
2017-11-03,0.94,8.3,12.8,17.3
2017-11-04,5.35,10.8,12.9,15.0
2017-11-05,7.02,5.2,9.1,12.9
2017-11-06,0.00,4.9,8.8,12.8
2017-11-07,0.00,7.2,11.3,15.5
2017-11-08,0.00,7.5,12.6,17.7
2017-11-09,14.71,9.3,11.6,13.9
2017-11-10,4.26,10.9,13.1,15.3
2017-11-11,1.37,9.4,12.2,15.1
2017-11-12,0.00,7.8,12.0,16.3
2017-11-13,0.35,8.0,12.4,16.8
2017-11-14,3.42,10.2,13.8,17.4
2017-11-15,0.41,8.5,12.9,17.2
2017-11-16,31.56,9.2,12.8,16.4
2017-11-17,37.76,8.3,10.5,12.7
2017-11-18,0.75,6.6,9.7,12.8
2017-11-19,0.00,5.9,10.2,14.6
2017-11-20,0.00,6.7,11.6,16.5
2017-11-21,0.00,11.7,14.9,18.1
2017-11-22,0.00,12.3,17.3,22.2
2017-11-23,0.00,13.6,18.6,23.6
2017-11-24,0.00,13.3,17.6,21.9
2017-11-25,0.00,12.9,16.9,21.0
2017-11-26,0.00,12.0,16.7,21.3
2017-11-27,21.76,7.5,11.0,14.4
2017-11-28,0.48,6.2,9.4,12.5
2017-11-29,0.00,6.1,10.0,13.9
2017-11-30,0.00,7.6,11.7,15.8
2017-12-01,0.00,7.7,12.2,16.7
2017-12-02,0.00,7.7,11.3,14.8
2017-12-03,1.34,7.5,11.7,15.9
2017-12-04,0.00,7.3,9.7,12.2
2017-12-05,0.00,7.1,10.5,13.9
2017-12-06,0.00,7.5,11.9,16.4
2017-12-07,0.00,7.3,11.1,14.8
2017-12-08,0.00,9.4,13.4,17.5
2017-12-09,0.00,11.0,13.6,16.3
2017-12-10,0.00,10.7,13.7,16.7
2017-12-11,0.00,10.2,14.0,17.8
2017-12-12,0.00,10.4,14.3,18.1
2017-12-13,0.00,10.3,13.9,17.6
2017-12-14,0.00,7.6,12.2,16.7
2017-12-15,0.00,9.4,14.4,19.3
2017-12-16,0.00,8.5,12.6,16.7
2017-12-17,0.00,8.7,11.7,14.6
2017-12-18,0.00,7.8,11.3,14.8
2017-12-19,0.00,6.0,10.7,15.4
2017-12-20,6.77,6.2,10.4,14.5
2017-12-21,0.00,4.9,7.3,9.7
2017-12-22,0.00,4.1,7.4,10.7
2017-12-23,0.00,3.5,7.3,11.1
2017-12-24,0.00,4.0,7.9,11.9
2017-12-25,0.00,6.9,9.0,11.2
2017-12-26,0.00,7.3,11.1,14.9
2017-12-27,0.00,6.5,11.6,16.7
2017-12-28,0.00,7.3,11.4,15.5
2017-12-29,0.00,7.6,12.1,16.6
2017-12-30,0.00,6.8,11.8,16.8
2017-12-31,0.00,7.3,11.6,15.8
2018-01-01,0.00,7.6,11.7,15.8
2018-01-02,0.00,7.4,12.1,16.9
2018-01-03,0.00,12.1,14.5,16.8
2018-01-04,12.20,9.6,12.4,15.1
2018-01-05,7.26,10.4,12.8,15.2
2018-01-06,14.68,9.1,11.6,14.1
2018-01-07,0.59,6.4,9.7,12.9
2018-01-08,14.74,6.6,9.0,11.4
2018-01-09,91.44,8.8,10.8,12.7
2018-01-10,7.73,6.7,9.4,12.1
2018-01-11,0.99,6.5,9.2,11.8
2018-01-12,0.00,8.1,11.9,15.7
2018-01-13,0.00,7.9,11.0,14.1
2018-01-14,0.00,8.5,13.0,17.5
2018-01-15,0.00,8.7,12.6,16.5
2018-01-16,0.02,9.2,13.2,17.2
2018-01-17,0.00,10.4,13.0,15.6
2018-01-18,0.00,9.2,12.8,16.3
2018-01-19,21.85,6.3,9.9,13.5
2018-01-20,0.54,3.8,7.5,11.2
2018-01-21,0.00,3.3,7.2,11.0
2018-01-22,5.70,4.5,8.3,12.1
2018-01-23,5.27,5.2,8.5,11.9
2018-01-24,0.00,5.3,9.4,13.5
2018-01-25,14.13,4.8,8.0,11.2
2018-01-26,1.81,4.2,6.9,9.6
2018-01-27,0.00,4.0,7.6,11.2
2018-01-28,0.00,4.7,9.3,14.0
2018-01-29,0.00,8.0,13.1,18.2
2018-01-30,0.00,9.6,13.4,17.2
2018-01-31,0.00,10.7,16.1,21.4
2018-02-01,0.00,10.2,14.7,19.1
2018-02-02,0.00,12.6,16.6,20.6
2018-02-03,0.00,13.7,17.4,21.1
2018-02-04,0.00,14.6,18.2,21.9
2018-02-05,0.00,13.8,17.6,21.4
2018-02-06,0.00,13.4,18.7,24.0
2018-02-07,0.00,13.5,17.0,20.5
2018-02-08,0.00,12.0,16.3,20.6
2018-02-09,0.00,13.1,17.8,22.5
2018-02-10,0.00,11.7,18.2,24.6
2018-02-11,0.00,8.6,13.1,17.5
2018-02-12,0.00,4.2,8.9,13.5
2018-02-13,0.00,3.6,7.6,11.7
2018-02-14,0.00,4.1,9.4,14.6
2018-02-15,0.00,3.8,9.4,15.0
2018-02-16,0.00,3.7,9.1,14.5
2018-02-17,0.00,7.4,12.1,16.7
2018-02-18,0.00,5.6,12.7,19.8
2018-02-19,6.55,0.9,5.2,9.6
2018-02-20,0.00,-0.3,3.9,8.2
2018-02-21,0.00,-0.2,4.6,9.4
2018-02-22,0.00,1.8,6.1,10.4
2018-02-23,0.87,-0.2,4.1,8.4
2018-02-24,0.00,-0.8,4.0,8.9
2018-02-25,0.00,1.4,5.9,10.4
2018-02-26,6.84,3.0,8.6,14.3
2018-02-27,3.26,1.2,4.6,8.1
2018-02-28,0.00,1.2,6.2,11.2
2018-03-01,22.58,3.1,6.4,9.7
2018-03-02,21.88,3.3,6.2,9.0
2018-03-03,9.81,2.3,5.1,8.0
2018-03-04,4.90,1.5,4.1,6.7
2018-03-05,0.00,1.6,5.7,9.8
2018-03-06,0.00,3.2,8.0,12.8
2018-03-07,0.00,6.7,11.8,16.8
2018-03-08,5.36,8.3,13.2,18.0
2018-03-09,0.00,7.8,12.5,17.2
2018-03-10,0.00,7.1,11.2,15.3
2018-03-11,0.00,7.5,10.1,12.7
2018-03-12,0.00,7.9,13.3,18.6
2018-03-13,16.26,10.4,14.9,19.5
2018-03-14,12.60,5.7,8.8,11.9
2018-03-15,8.26,2.9,6.0,9.2
2018-03-16,14.27,2.9,5.4,8.0
2018-03-17,5.57,3.2,5.7,8.3
2018-03-18,6.03,2.7,6.3,9.8
2018-03-19,0.00,2.8,6.8,10.8
2018-03-20,0.38,4.9,9.8,14.7
2018-03-21,15.69,7.4,9.2,11.0
2018-03-22,31.40,10.7,12.0,13.3
2018-03-23,14.14,3.0,7.1,11.2
2018-03-24,2.99,2.8,7.3,11.9
2018-03-25,6.57,2.4,5.9,9.3
2018-03-26,0.50,2.5,6.7,10.9
2018-03-27,0.00,4.1,8.7,13.3
2018-03-28,0.00,9.1,14.2,19.2
2018-03-29,0.00,12.3,17.8,23.2
2018-03-30,0.00,14.0,19.5,24.9
2018-03-31,0.00,14.8,19.6,24.4
2018-04-01,0.00,9.7,16.5,23.3
2018-04-02,0.00,8.1,14.8,21.5
2018-04-03,0.00,7.2,13.0,18.8
2018-04-04,0.00,8.3,14.4,20.6
2018-04-05,0.00,8.1,13.5,18.9
2018-04-06,20.42,8.1,12.3,16.6
2018-04-07,77.40,10.9,13.3,15.7
2018-04-08,2.34,7.2,12.0,16.9
2018-04-09,0.00,6.4,11.6,16.8
2018-04-10,0.00,10.0,17.3,24.6
2018-04-11,0.00,6.2,12.4,18.7
2018-04-12,8.97,3.9,9.9,15.9
2018-04-13,0.00,3.9,8.6,13.4
2018-04-14,0.00,5.0,12.5,20.0
2018-04-15,0.00,8.8,15.9,22.9
2018-04-16,5.06,4.1,10.0,16.0
2018-04-17,9.13,3.0,7.2,11.3
2018-04-18,0.00,2.9,9.8,16.6
2018-04-19,0.00,4.1,9.2,14.2
2018-04-20,0.00,4.3,10.1,16.0
2018-04-21,0.00,8.7,15.3,21.9
2018-04-22,0.00,9.4,17.4,25.4
2018-04-23,0.00,11.5,18.8,26.1
2018-04-24,0.00,10.1,17.2,24.4
2018-04-25,0.00,9.2,14.5,19.7
2018-04-26,0.00,7.9,13.8,19.6
2018-04-27,0.00,6.4,12.4,18.3
2018-04-28,0.00,7.2,12.3,17.3
2018-04-29,0.29,6.8,11.6,16.4
2018-04-30,0.00,6.6,11.3,16.0
2018-05-01,0.00,5.3,9.8,14.2
2018-05-02,0.00,5.8,12.1,18.4
2018-05-03,0.07,6.2,12.2,18.1
2018-05-04,0.00,7.5,13.4,19.3
2018-05-05,0.00,9.6,17.4,25.1
2018-05-06,0.00,6.8,13.2,19.5
2018-05-07,0.00,7.0,12.1,17.2
2018-05-08,0.00,9.6,16.2,22.8
2018-05-09,0.18,9.7,15.9,22.1
2018-05-10,0.00,8.4,13.9,19.4
2018-05-11,0.00,8.2,14.0,19.8
2018-05-12,0.00,9.6,17.2,24.8
2018-05-13,0.00,8.6,15.6,22.6
2018-05-14,0.00,7.5,13.1,18.7
2018-05-15,0.00,7.7,12.6,17.5
2018-05-16,0.00,7.7,12.8,17.8
2018-05-17,0.00,7.5,12.7,18.0
2018-05-18,0.00,8.2,12.7,17.3
2018-05-19,0.35,7.8,12.8,17.8
2018-05-20,0.00,7.6,11.2,14.9
2018-05-21,0.00,7.4,11.0,14.7
2018-05-22,0.81,7.4,13.3,19.2
2018-05-23,1.50,8.3,12.0,15.7
2018-05-24,0.75,7.9,11.2,14.4
2018-05-25,0.60,7.8,11.3,14.8
2018-05-26,2.31,8.5,12.3,16.1
2018-05-27,0.19,8.1,12.5,16.9
2018-05-28,0.00,10.4,17.9,25.5
2018-05-29,0.00,14.3,22.8,31.3
2018-05-30,0.00,9.2,18.5,27.8
2018-05-31,0.00,7.4,11.2,14.9
2018-06-01,0.00,6.6,10.5,14.3
2018-06-02,0.00,7.3,16.2,25.2
2018-06-03,0.00,15.4,23.9,32.5
2018-06-04,0.00,14.7,23.1,31.5
2018-06-05,0.00,9.2,15.6,22.1
2018-06-06,0.00,8.0,13.3,18.7
2018-06-07,0.00,8.2,11.8,15.4
2018-06-08,0.00,8.5,13.6,18.6
2018-06-09,0.85,9.6,16.5,23.3
2018-06-10,0.00,7.6,12.9,18.2
2018-06-11,0.00,7.9,14.5,21.0
2018-06-12,0.00,10.3,17.9,25.4
2018-06-13,0.00,13.9,22.3,30.6
2018-06-14,0.00,10.9,19.6,28.2
2018-06-15,0.00,10.1,17.3,24.5
2018-06-16,0.00,8.9,14.3,19.7
2018-06-17,0.00,8.2,15.1,22.0
2018-06-18,0.00,9.3,15.0,20.8
2018-06-19,0.00,10.1,17.3,24.5
2018-06-20,0.00,11.0,18.3,25.5
2018-06-21,0.00,10.6,16.9,23.3
2018-06-22,0.00,11.0,18.2,25.3
2018-06-23,0.00,14.3,23.3,32.4
2018-06-24,0.00,15.8,25.7,35.6
2018-06-25,0.00,11.5,19.1,26.8
2018-06-26,0.00,9.9,17.4,24.9
2018-06-27,0.00,10.9,17.9,25.0
2018-06-28,0.00,10.5,16.9,23.3
2018-06-29,0.00,10.4,15.6,20.7
2018-06-30,0.00,11.9,21.2,30.5
2018-07-01,0.00,16.9,23.6,30.3
2018-07-02,0.00,13.9,20.1,26.4
2018-07-03,0.00,12.5,18.3,24.0
2018-07-04,0.00,11.2,17.0,22.9
2018-07-05,0.00,10.2,16.1,21.9
2018-07-06,0.00,11.0,19.2,27.3
2018-07-07,0.00,16.3,23.9,31.5
2018-07-08,0.00,15.1,21.7,28.3
2018-07-09,0.00,13.9,20.9,27.8
2018-07-10,0.00,15.6,23.1,30.6
2018-07-11,0.00,14.0,21.8,29.5
2018-07-12,0.00,14.9,21.3,27.7
2018-07-13,0.00,15.1,21.8,28.4
2018-07-14,0.00,15.5,22.3,29.0
2018-07-15,0.00,13.6,19.7,25.8
2018-07-16,0.00,13.2,19.4,25.5
2018-07-17,0.00,14.9,21.5,28.1
2018-07-18,0.00,15.6,21.7,27.7
2018-07-19,0.00,16.8,22.4,28.0
2018-07-20,0.00,16.4,23.1,29.7
2018-07-21,0.00,15.6,22.5,29.5
2018-07-22,0.00,14.7,21.6,28.4
2018-07-23,0.00,14.2,20.5,26.8
2018-07-24,0.00,14.3,22.1,29.8
2018-07-25,0.00,16.3,22.8,29.2
2018-07-26,0.00,16.9,24.2,31.5
2018-07-27,0.00,14.7,21.2,27.6
2018-07-28,0.00,13.9,20.3,26.7
2018-07-29,0.00,14.9,21.2,27.4
2018-07-30,0.00,14.6,20.9,27.3
2018-07-31,0.00,14.9,21.5,28.2
2018-08-01,0.00,12.6,19.3,25.9
2018-08-02,0.01,12.2,18.3,24.4
2018-08-03,0.00,11.7,18.1,24.4
2018-08-04,0.00,11.4,20.3,29.1
2018-08-05,0.00,12.2,20.2,28.1
2018-08-06,0.00,12.1,19.6,27.1
2018-08-07,0.00,13.3,22.1,30.9
2018-08-08,0.00,12.6,18.8,24.9
2018-08-09,0.00,12.4,20.4,28.4
2018-08-10,0.00,12.8,23.4,34.1
