PRISM Time Series Data
Location:  Lat: 37.2316   Lon: -121.6948   Elev: 380m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2017-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Jan-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2017-03-24,0.00,6.9,10.7,14.6
2017-03-25,4.41,9.1,10.5,11.9
2017-03-26,0.31,7.9,11.3,14.7
2017-03-27,1.26,8.4,11.4,14.5
2017-03-28,0.40,7.3,10.8,14.2
2017-03-29,0.00,8.4,13.7,19.0
2017-03-30,0.04,9.5,15.2,20.9
2017-03-31,0.13,8.1,12.5,16.9
2017-04-01,0.00,7.9,12.7,17.4
2017-04-02,0.00,10.0,15.6,21.1
2017-04-03,0.00,10.2,16.1,22.1
2017-04-04,0.00,9.7,14.8,19.8
2017-04-05,0.00,9.5,15.2,20.9
2017-04-06,0.00,12.7,17.6,22.5
2017-04-07,14.08,9.5,12.7,15.9
2017-04-08,8.97,6.3,9.9,13.4
2017-04-09,3.93,5.0,7.6,10.3
2017-04-10,0.00,5.0,9.9,14.8
2017-04-11,0.00,8.0,12.9,17.8
2017-04-12,1.16,9.7,13.0,16.3
2017-04-13,12.16,9.1,12.4,15.8
2017-04-14,1.18,5.1,8.4,11.7
2017-04-15,0.00,4.5,9.6,14.6
2017-04-16,0.00,7.3,12.4,17.5
2017-04-17,7.53,9.1,11.5,13.9
2017-04-18,8.12,10.2,12.4,14.7
2017-04-19,1.40,8.9,12.8,16.7
2017-04-20,0.45,9.2,13.3,17.5
2017-04-21,0.00,10.0,14.0,18.0
2017-04-22,0.00,11.0,16.8,22.6
2017-04-23,0.00,9.0,13.5,18.0
2017-04-24,0.00,9.1,12.3,15.5
2017-04-25,0.00,9.1,11.1,13.1
2017-04-26,0.00,9.1,12.5,15.9
2017-04-27,0.00,9.7,12.7,15.7
2017-04-28,0.00,9.1,13.9,18.7
2017-04-29,0.00,9.1,14.7,20.3
2017-04-30,0.00,13.1,18.0,22.9
2017-05-01,0.00,12.3,18.8,25.3
2017-05-02,0.00,15.9,22.2,28.6
2017-05-03,0.00,18.4,24.0,29.6
2017-05-04,0.00,17.9,24.6,31.3
2017-05-05,0.00,10.5,18.5,26.5
2017-05-06,0.00,7.6,12.2,16.8
2017-05-07,0.00,7.1,10.7,14.4
2017-05-08,0.00,8.9,15.1,21.2
2017-05-09,0.00,9.7,16.7,23.6
2017-05-10,0.00,9.7,18.4,27.1
2017-05-11,0.00,10.0,14.4,18.8
2017-05-12,0.00,8.4,13.6,18.8
2017-05-13,0.00,6.8,11.3,15.7
2017-05-14,0.00,6.1,11.2,16.3
2017-05-15,0.00,6.6,11.4,16.2
2017-05-16,0.00,7.2,12.3,17.4
2017-05-17,0.05,8.0,10.2,12.5
2017-05-18,0.00,8.2,13.9,19.7
2017-05-19,0.00,10.0,17.5,24.9
2017-05-20,0.00,15.0,21.9,28.9
2017-05-21,0.00,16.4,23.0,29.7
2017-05-22,0.00,15.5,23.2,30.8
2017-05-23,0.00,15.6,22.9,30.2
2017-05-24,0.00,12.6,20.3,28.1
2017-05-25,0.00,10.6,17.2,23.8
2017-05-26,0.00,10.1,14.3,18.5
2017-05-27,0.00,9.1,13.4,17.8
2017-05-28,0.00,9.5,14.8,20.1
2017-05-29,0.00,9.8,15.0,20.3
2017-05-30,0.00,9.4,14.1,18.7
2017-05-31,0.44,9.3,14.1,18.9
2017-06-01,0.00,10.9,16.3,21.8
2017-06-02,0.00,10.5,16.1,21.7
2017-06-03,0.00,11.1,18.7,26.2
2017-06-04,0.00,11.2,18.1,25.0
2017-06-05,0.00,9.3,16.3,23.2
2017-06-06,0.00,10.5,18.8,27.0
2017-06-07,0.00,11.4,17.2,23.0
2017-06-08,0.00,10.7,16.6,22.6
2017-06-09,0.63,14.2,16.9,19.6
2017-06-10,0.84,9.6,13.4,17.2
2017-06-11,0.00,8.7,13.5,18.3
2017-06-12,0.00,8.6,12.1,15.5
2017-06-13,0.00,9.0,13.6,18.2
2017-06-14,0.00,9.7,16.6,23.5
2017-06-15,0.00,12.5,20.1,27.7
2017-06-16,0.00,12.2,19.2,26.1
2017-06-17,0.00,17.6,23.8,29.9
2017-06-18,0.00,18.6,25.3,32.0
2017-06-19,0.00,24.1,30.7,37.3
2017-06-20,0.00,21.5,28.7,35.8
2017-06-21,0.00,16.9,24.6,32.4
2017-06-22,0.00,16.3,25.0,33.7
2017-06-23,0.00,18.9,27.6,36.3
2017-06-24,0.00,16.0,22.6,29.2
2017-06-25,0.00,14.2,20.0,25.8
2017-06-26,0.00,11.9,17.8,23.7
2017-06-27,0.00,12.2,17.3,22.4
2017-06-28,0.00,10.9,16.3,21.8
2017-06-29,0.00,11.2,17.6,24.0
2017-06-30,0.00,10.5,17.6,24.7
2017-07-01,0.00,10.5,17.1,23.7
2017-07-02,0.00,10.7,16.8,22.9
2017-07-03,0.00,12.1,19.1,26.2
2017-07-04,0.00,13.3,20.7,28.1
2017-07-05,0.00,12.9,20.0,27.1
2017-07-06,0.00,12.7,19.7,26.8
2017-07-07,0.00,18.5,24.8,31.1
2017-07-08,0.00,22.3,28.9,35.6
2017-07-09,0.00,16.2,25.7,35.2
2017-07-10,0.00,18.5,25.3,32.0
2017-07-11,0.00,15.3,22.7,30.0
2017-07-12,0.00,15.2,22.0,28.9
2017-07-13,0.00,14.2,21.2,28.1
2017-07-14,0.00,14.0,21.1,28.2
2017-07-15,0.00,15.2,22.2,29.1
2017-07-16,0.00,19.1,26.7,34.3
2017-07-17,0.00,22.5,28.9,35.2
2017-07-18,0.00,16.2,23.9,31.5
2017-07-19,0.00,13.0,19.3,25.6
2017-07-20,0.00,13.2,19.9,26.7
2017-07-21,0.00,12.3,18.8,25.2
2017-07-22,0.00,13.4,20.2,27.0
2017-07-23,0.00,14.3,23.8,33.3
2017-07-24,0.00,16.6,24.0,31.4
2017-07-25,0.00,13.5,20.6,27.7
2017-07-26,0.00,12.8,19.3,25.8
2017-07-27,0.00,13.3,20.3,27.4
2017-07-28,0.00,17.8,24.9,32.0
2017-07-29,0.00,17.7,23.1,28.4
2017-07-30,0.00,14.2,20.9,27.6
2017-07-31,0.00,13.3,21.0,28.7
2017-08-01,0.00,12.5,20.9,29.3
2017-08-02,0.00,20.1,27.0,34.0
2017-08-03,0.00,22.8,28.6,34.3
2017-08-04,0.00,23.1,27.6,32.1
2017-08-05,0.00,17.6,22.8,28.0
2017-08-06,0.00,14.7,21.0,27.3
2017-08-07,0.00,13.2,19.3,25.4
2017-08-08,0.00,12.8,18.5,24.3
2017-08-09,0.00,13.2,19.4,25.5
2017-08-10,0.00,13.4,18.2,23.0
2017-08-11,0.00,13.0,19.1,25.2
2017-08-12,0.00,13.1,20.5,27.8
2017-08-13,0.00,12.7,18.8,24.9
2017-08-14,0.00,12.6,19.1,25.5
2017-08-15,0.00,13.3,17.0,20.8
2017-08-16,0.00,11.8,16.6,21.3
2017-08-17,0.00,12.7,18.7,24.7
2017-08-18,0.00,13.6,20.1,26.7
2017-08-19,0.00,14.1,20.8,27.5
2017-08-20,0.00,13.6,19.5,25.5
2017-08-21,0.00,13.6,19.2,24.8
2017-08-22,0.00,13.5,18.9,24.3
2017-08-23,0.00,14.0,20.4,26.8
2017-08-24,0.00,13.6,19.8,26.1
2017-08-25,0.00,12.8,18.7,24.6
2017-08-26,0.00,13.6,21.6,29.6
2017-08-27,0.00,19.9,27.8,35.7
2017-08-28,0.00,21.9,29.4,36.9
2017-08-29,0.00,15.9,25.7,35.5
2017-08-30,0.00,14.2,21.0,27.8
2017-08-31,0.00,12.8,20.6,28.5
2017-09-01,0.00,18.2,26.8,35.4
2017-09-02,0.00,27.7,34.2,40.8
2017-09-03,0.00,28.1,35.2,42.3
2017-09-04,0.00,23.5,30.6,37.6
2017-09-05,0.00,19.9,24.5,29.0
2017-09-06,0.00,17.4,23.7,29.9
2017-09-07,0.00,16.0,21.8,27.7
2017-09-08,0.00,14.3,18.9,23.4
2017-09-09,0.00,14.3,19.4,24.4
2017-09-10,0.00,14.7,21.5,28.3
2017-09-11,0.00,20.5,27.4,34.4
2017-09-12,1.07,21.4,26.8,32.3
2017-09-13,0.00,15.6,22.3,29.0
2017-09-14,0.00,14.8,18.6,22.3
2017-09-15,0.00,12.1,16.8,21.5
2017-09-16,0.00,11.0,16.7,22.4
2017-09-17,0.00,12.2,18.6,24.9
2017-09-18,0.00,12.0,18.5,25.0
2017-09-19,0.00,11.6,16.9,22.2
2017-09-20,0.00,11.9,16.8,21.7
2017-09-21,0.00,10.9,15.5,20.1
2017-09-22,0.00,10.1,13.9,17.7
2017-09-23,0.00,10.0,14.9,19.8
2017-09-24,0.00,12.4,18.1,23.8
2017-09-25,0.00,14.4,19.8,25.2
2017-09-26,0.00,16.5,21.7,26.9
2017-09-27,0.00,19.4,24.2,28.9
2017-09-28,0.00,19.1,25.1,31.1
2017-09-29,0.00,15.0,22.7,30.3
2017-09-30,0.00,12.4,18.4,24.4
2017-10-01,0.00,12.2,18.3,24.3
2017-10-02,0.00,14.0,18.9,23.7
2017-10-03,0.00,9.8,16.7,23.6
2017-10-04,0.00,8.1,14.3,20.5
2017-10-05,0.00,12.1,18.2,24.4
2017-10-06,0.00,14.1,20.2,26.3
2017-10-07,0.00,15.7,22.2,28.7
2017-10-08,0.00,13.1,21.2,29.2
2017-10-09,0.00,12.7,18.5,24.3
2017-10-10,0.00,14.4,20.3,26.2
2017-10-11,0.00,12.7,19.5,26.3
2017-10-12,0.00,9.3,14.7,20.1
2017-10-13,0.00,11.4,16.0,20.7
2017-10-14,0.00,12.1,17.3,22.5
2017-10-15,0.00,13.4,17.7,22.0
2017-10-16,0.00,12.2,18.8,25.5
2017-10-17,0.00,17.5,22.8,28.1
2017-10-18,0.00,15.2,21.2,27.3
2017-10-19,0.00,8.7,16.5,24.4
2017-10-20,6.58,9.2,13.3,17.4
2017-10-21,0.00,8.5,11.6,14.6
2017-10-22,0.00,8.4,13.3,18.1
2017-10-23,0.00,10.8,16.3,21.7
2017-10-24,0.00,18.6,23.5,28.3
2017-10-25,0.00,19.0,24.8,30.7
2017-10-26,0.00,19.7,25.1,30.5
2017-10-27,0.00,20.4,25.2,30.0
2017-10-28,0.00,18.4,24.3,30.3
2017-10-29,0.00,12.0,19.9,27.9
2017-10-30,0.00,9.1,15.4,21.6
2017-10-31,0.00,8.8,12.2,15.6
2017-11-01,0.00,9.9,14.5,19.1
2017-11-02,0.00,10.1,14.6,19.1
2017-11-03,0.00,9.2,13.4,17.6
2017-11-04,1.49,11.7,13.7,15.7
2017-11-05,1.32,6.1,9.8,13.4
2017-11-06,0.00,6.7,10.0,13.4
2017-11-07,0.00,7.3,11.7,16.0
2017-11-08,0.00,6.9,11.8,16.7
2017-11-09,3.88,10.8,13.3,15.9
2017-11-10,3.74,11.7,14.0,16.3
2017-11-11,0.49,10.5,13.6,16.7
2017-11-12,0.00,9.9,13.7,17.6
2017-11-13,0.00,9.4,13.3,17.2
2017-11-14,3.08,12.2,15.5,18.7
2017-11-15,0.00,10.0,13.5,17.1
2017-11-16,1.70,9.6,14.0,18.4
2017-11-17,26.69,8.9,11.4,13.9
2017-11-18,0.60,7.8,10.6,13.4
2017-11-19,0.00,7.7,11.8,15.9
2017-11-20,0.00,7.3,12.0,16.6
2017-11-21,0.00,10.4,15.0,19.5
2017-11-22,0.00,9.9,15.5,21.1
2017-11-23,0.00,12.1,16.2,20.3
2017-11-24,0.00,15.1,18.2,21.3
2017-11-25,0.00,12.4,17.0,21.6
2017-11-26,0.00,12.0,16.5,21.0
2017-11-27,10.16,7.2,12.7,18.2
2017-11-28,0.47,6.7,10.2,13.6
2017-11-29,0.00,6.2,10.9,15.5
2017-11-30,0.00,10.4,12.6,14.8
2017-12-01,0.00,9.6,12.9,16.3
2017-12-02,0.00,7.7,11.7,15.6
2017-12-03,0.00,7.2,11.2,15.2
2017-12-04,0.00,7.0,10.1,13.2
2017-12-05,0.00,6.0,9.4,12.8
2017-12-06,0.00,9.0,11.9,14.8
2017-12-07,0.00,6.1,10.1,14.0
2017-12-08,0.00,7.8,12.5,17.1
2017-12-09,0.00,9.9,12.8,15.7
2017-12-10,0.00,9.4,12.5,15.7
2017-12-11,0.00,8.9,12.9,16.9
2017-12-12,0.00,8.5,12.7,16.9
2017-12-13,0.00,10.3,13.4,16.5
2017-12-14,0.00,9.7,12.5,15.3
2017-12-15,0.00,8.8,13.9,18.9
2017-12-16,0.00,7.8,12.0,16.2
2017-12-17,0.00,8.7,12.0,15.3
2017-12-18,0.00,7.6,10.8,14.0
2017-12-19,0.00,6.7,10.7,14.7
2017-12-20,0.87,8.1,12.9,17.8
2017-12-21,1.18,4.3,7.6,10.9
2017-12-22,0.00,4.1,6.8,9.5
2017-12-23,0.00,3.7,7.0,10.4
2017-12-24,0.00,3.5,7.4,11.3
2017-12-25,0.00,6.2,8.3,10.3
2017-12-26,0.00,6.7,10.7,14.8
2017-12-27,0.00,7.1,12.2,17.2
2017-12-28,0.00,7.1,11.4,15.7
2017-12-29,0.00,6.7,11.6,16.4
2017-12-30,0.00,6.4,11.9,17.4
2017-12-31,0.00,7.3,11.9,16.5
2018-01-01,0.00,8.3,11.8,15.2
2018-01-02,0.00,7.8,11.9,16.1
2018-01-03,0.00,11.4,13.7,16.0
2018-01-04,10.58,9.5,12.5,15.4
2018-01-05,0.52,9.1,13.6,18.0
2018-01-06,3.01,9.1,12.5,15.9
2018-01-07,0.52,7.2,10.1,13.0
2018-01-08,1.76,6.2,8.8,11.3
2018-01-09,44.55,8.9,11.3,13.8
2018-01-10,12.09,7.2,9.9,12.6
2018-01-11,1.07,6.7,9.3,12.0
2018-01-12,0.00,9.1,12.5,15.8
2018-01-13,0.00,8.3,10.9,13.6
2018-01-14,0.00,7.2,10.8,14.5
2018-01-15,0.00,7.2,11.5,15.8
2018-01-16,0.00,9.0,13.3,17.7
2018-01-17,0.00,9.7,13.1,16.5
2018-01-18,0.00,8.5,12.0,15.4
2018-01-19,7.98,7.2,11.8,16.5
2018-01-20,0.03,3.9,7.5,11.1
2018-01-21,0.00,3.8,7.5,11.2
2018-01-22,0.21,5.2,8.6,12.0
2018-01-23,3.89,5.7,8.6,11.5
2018-01-24,0.00,5.2,9.4,13.7
2018-01-25,9.86,6.2,9.7,13.2
2018-01-26,2.11,5.8,8.2,10.6
2018-01-27,0.00,5.5,8.6,11.7
2018-01-28,0.00,5.0,9.6,14.2
2018-01-29,0.00,8.0,12.5,17.0
2018-01-30,0.00,9.2,12.6,15.9
2018-01-31,0.00,9.6,15.0,20.4
2018-02-01,0.00,9.9,14.1,18.3
2018-02-02,0.00,12.9,16.8,20.8
2018-02-03,0.00,15.2,17.6,20.0
2018-02-04,0.00,14.5,18.0,21.5
2018-02-05,0.00,14.5,17.8,21.0
2018-02-06,0.00,15.2,19.5,23.8
2018-02-07,0.00,13.9,17.1,20.3
2018-02-08,0.00,12.1,15.9,19.8
2018-02-09,0.00,13.6,17.9,22.1
2018-02-10,0.00,14.3,19.6,24.8
2018-02-11,0.00,11.1,15.2,19.3
2018-02-12,0.00,5.8,9.9,14.1
2018-02-13,0.00,4.3,8.3,12.2
2018-02-14,0.00,5.3,9.8,14.3
2018-02-15,0.00,5.4,10.5,15.6
2018-02-16,0.00,4.8,9.7,14.6
2018-02-17,0.00,8.5,13.0,17.4
2018-02-18,0.00,7.0,13.6,20.2
2018-02-19,0.00,2.3,6.4,10.4
2018-02-20,0.00,1.6,5.6,9.7
2018-02-21,0.00,1.8,5.9,10.0
2018-02-22,0.00,2.7,7.0,11.2
2018-02-23,0.52,1.3,5.0,8.7
2018-02-24,0.00,0.9,4.7,8.5
2018-02-25,0.00,3.0,7.1,11.2
2018-02-26,0.00,3.7,9.0,14.2
2018-02-27,7.11,1.4,4.8,8.2
2018-02-28,0.00,2.1,6.6,11.1
2018-03-01,5.10,3.3,7.3,11.3
2018-03-02,25.44,4.7,7.4,10.1
2018-03-03,6.20,3.9,6.9,9.8
2018-03-04,3.36,3.2,5.7,8.3
2018-03-05,0.00,3.7,7.4,11.2
2018-03-06,0.00,4.3,8.6,12.9
2018-03-07,0.00,6.1,11.5,16.9
2018-03-08,0.00,10.6,15.4,20.2
2018-03-09,0.00,9.4,14.0,18.6
2018-03-10,0.00,8.0,12.4,16.7
2018-03-11,0.27,8.9,11.0,13.2
2018-03-12,0.00,9.0,13.9,18.9
2018-03-13,6.73,11.7,16.1,20.6
2018-03-14,11.28,7.3,10.5,13.7
2018-03-15,5.30,4.9,7.7,10.4
2018-03-16,8.25,4.3,7.0,9.7
2018-03-17,4.85,4.9,6.7,8.4
2018-03-18,1.61,4.3,7.6,10.8
2018-03-19,0.00,3.8,7.5,11.2
2018-03-20,0.00,4.4,10.0,15.6
2018-03-21,6.56,9.1,10.8,12.6
2018-03-22,11.83,12.8,14.7,16.6
2018-03-23,13.58,4.9,9.3,13.6
2018-03-24,0.00,4.9,8.9,12.8
2018-03-25,3.73,4.5,7.7,11.0
2018-03-26,0.00,4.4,8.0,11.7
2018-03-27,0.00,5.6,10.8,15.9
2018-03-28,0.00,10.1,14.8,19.6
2018-03-29,0.00,12.8,17.7,22.6
2018-03-30,0.00,15.1,19.8,24.5
2018-03-31,0.00,15.9,20.9,25.9
2018-04-01,0.00,10.8,17.1,23.5
2018-04-02,0.00,8.5,14.6,20.8
2018-04-03,0.00,8.4,13.5,18.6
2018-04-04,0.00,9.0,15.0,20.9
2018-04-05,0.00,9.7,14.1,18.6
2018-04-06,3.67,9.6,12.7,15.9
2018-04-07,25.14,12.3,13.4,14.6
2018-04-08,8.46,8.9,12.4,15.9
2018-04-09,0.00,8.2,12.0,15.9
2018-04-10,0.00,9.0,15.7,22.4
2018-04-11,0.00,7.9,12.6,17.4
2018-04-12,4.37,5.3,10.4,15.6
2018-04-13,0.00,5.2,8.6,11.9
2018-04-14,0.00,6.1,12.2,18.3
2018-04-15,0.00,10.4,16.1,21.8
2018-04-16,1.48,6.3,11.4,16.4
2018-04-17,4.57,4.6,6.9,9.1
2018-04-18,0.00,4.9,10.3,15.6
2018-04-19,0.00,5.7,9.2,12.7
2018-04-20,0.00,5.7,10.3,15.0
2018-04-21,0.00,9.0,15.0,20.9
2018-04-22,0.00,9.1,17.3,25.5
2018-04-23,0.00,12.3,19.1,26.0
2018-04-24,0.00,9.9,18.2,26.4
2018-04-25,0.00,8.5,15.0,21.6
2018-04-26,0.00,8.2,14.2,20.2
2018-04-27,0.00,8.0,12.8,17.6
2018-04-28,0.00,8.9,12.7,16.5
2018-04-29,0.00,8.4,11.5,14.7
2018-04-30,0.03,8.2,11.5,14.7
2018-05-01,0.00,6.6,10.7,14.7
2018-05-02,0.00,6.0,12.2,18.4
2018-05-03,0.00,7.2,13.2,19.2
2018-05-04,0.00,8.1,13.7,19.3
2018-05-05,0.00,9.6,17.3,25.0
2018-05-06,0.00,8.5,15.0,21.5
2018-05-07,0.00,8.0,12.6,17.1
2018-05-08,0.00,9.7,16.5,23.2
2018-05-09,0.00,11.2,16.7,22.2
2018-05-10,0.00,8.6,13.4,18.3
2018-05-11,0.00,8.2,14.5,20.8
2018-05-12,0.00,10.0,16.6,23.2
2018-05-13,0.00,10.5,16.3,22.1
2018-05-14,0.00,8.9,14.1,19.4
2018-05-15,0.00,9.0,13.4,17.9
2018-05-16,0.00,8.9,13.7,18.5
2018-05-17,0.00,9.1,13.1,17.1
2018-05-18,0.00,9.2,14.0,18.8
2018-05-19,0.00,9.1,14.2,19.3
2018-05-20,0.00,8.6,12.8,17.0
2018-05-21,0.00,8.6,12.0,15.4
2018-05-22,0.00,9.0,14.7,20.4
2018-05-23,0.00,9.6,13.5,17.4
2018-05-24,0.00,9.6,13.3,17.0
2018-05-25,0.00,9.3,12.4,15.4
2018-05-26,0.00,9.6,11.8,14.0
2018-05-27,0.00,9.3,13.6,17.9
2018-05-28,0.00,11.2,18.3,25.4
2018-05-29,0.00,15.3,23.4,31.5
2018-05-30,0.00,10.7,20.1,29.6
2018-05-31,0.00,8.8,13.0,17.3
2018-06-01,0.00,7.6,11.2,14.8
2018-06-02,0.00,8.1,16.8,25.5
2018-06-03,0.00,17.0,24.8,32.5
2018-06-04,0.00,17.1,25.0,32.8
2018-06-05,0.00,8.8,16.1,23.4
2018-06-06,0.00,8.4,14.7,21.0
2018-06-07,0.00,9.4,13.4,17.5
2018-06-08,0.00,8.9,14.5,20.1
2018-06-09,0.00,10.1,17.2,24.3
2018-06-10,0.00,9.3,13.6,17.9
2018-06-11,0.00,9.1,15.1,21.1
2018-06-12,0.00,10.0,18.3,26.5
2018-06-13,0.00,15.4,23.5,31.6
2018-06-14,0.00,12.3,20.6,28.9
2018-06-15,0.00,10.9,18.3,25.7
2018-06-16,0.00,9.4,15.6,21.7
2018-06-17,0.00,9.0,15.5,21.9
2018-06-18,0.00,10.4,15.8,21.2
2018-06-19,0.00,11.0,17.5,24.1
2018-06-20,0.00,11.0,18.4,25.8
2018-06-21,0.00,10.0,17.0,24.0
2018-06-22,0.00,10.5,18.6,26.7
2018-06-23,0.00,16.8,25.0,33.1
2018-06-24,0.00,17.0,26.2,35.3
2018-06-25,0.00,13.0,20.1,27.1
2018-06-26,0.00,13.0,19.2,25.5
2018-06-27,0.00,12.9,19.7,26.6
2018-06-28,0.00,11.0,17.4,23.8
2018-06-29,0.00,11.4,16.9,22.4
2018-06-30,0.00,12.2,20.7,29.3
2018-07-01,0.00,15.5,23.4,31.4
2018-07-02,0.00,13.3,20.3,27.3
2018-07-03,0.00,12.1,18.1,24.1
2018-07-04,0.00,11.2,17.6,24.0
2018-07-05,0.00,11.3,17.0,22.7
2018-07-06,0.00,11.1,19.5,27.8
2018-07-07,0.00,17.6,24.4,31.1
2018-07-08,0.00,17.7,23.8,29.9
2018-07-09,0.00,16.5,22.8,29.1
2018-07-10,0.00,17.4,24.7,31.9
2018-07-11,0.00,15.3,23.0,30.7
2018-07-12,0.00,14.3,21.9,29.4
2018-07-13,0.00,14.6,21.8,29.1
2018-07-14,0.00,15.5,22.1,28.7
2018-07-15,0.00,13.3,20.1,27.0
2018-07-16,0.00,12.9,19.7,26.6
2018-07-17,0.00,13.2,21.1,29.0
2018-07-18,0.00,14.2,22.0,29.8
2018-07-19,0.00,16.3,23.7,31.1
2018-07-20,0.00,15.1,23.4,31.8
2018-07-21,0.00,16.5,23.3,30.0
2018-07-22,0.00,15.2,21.6,28.1
2018-07-23,0.00,14.8,21.0,27.2
2018-07-24,0.00,15.9,22.8,29.6
2018-07-25,0.00,17.4,24.1,30.9
2018-07-26,0.00,17.1,25.1,33.0
2018-07-27,0.00,13.5,21.5,29.5
2018-07-28,0.00,12.3,20.5,28.7
2018-07-29,0.00,12.8,21.2,29.5
2018-07-30,0.00,13.0,20.1,27.3
2018-07-31,0.00,14.4,22.0,29.6
2018-08-01,0.00,15.4,21.8,28.3
2018-08-02,0.00,12.8,20.3,27.7
2018-08-03,0.00,14.2,20.4,26.5
2018-08-04,0.00,14.3,22.3,30.2
2018-08-05,0.00,15.8,22.9,30.1
2018-08-06,0.00,15.7,22.1,28.6
2018-08-07,0.00,18.1,24.4,30.8
2018-08-08,0.00,14.0,20.3,26.5
2018-08-09,0.00,12.2,21.0,29.9
2018-08-10,0.00,16.2,24.8,33.5
